"agno";"rbd";"nom_rbd";"mrun";"doc_genero";"doc_fec_nac";"cod_sec";"cod_espe";"cod_ense";"cod_grado"
2019;8485;"LICEO INSTITUTO NACIONAL";8308977;1;196306;0;0;310;1
2019;8485;"LICEO INSTITUTO NACIONAL";19333192;1;195909;0;0;310;1
2019;8485;"LICEO INSTITUTO NACIONAL";20618202;2;196201;0;0;310;1
2019;8485;"LICEO INSTITUTO NACIONAL";1054523;2;196710;0;0;310;1
2019;8485;"LICEO INSTITUTO NACIONAL";20618202;2;196201;0;0;310;1
2019;8485;"LICEO INSTITUTO NACIONAL";3978081;1;196301;0;0;310;1
2019;8485;"LICEO INSTITUTO NACIONAL";16457865;1;196411;0;0;310;1
2019;8485;"LICEO INSTITUTO NACIONAL";6388247;1;195802;0;0;310;1
2019;8485;"LICEO INSTITUTO NACIONAL";9753589;2;196503;0;0;310;1
2019;8485;"LICEO INSTITUTO NACIONAL";13733520;2;196107;0;0;310;1
2019;8485;"LICEO INSTITUTO NACIONAL";23887921;1;196603;0;0;310;1
2019;8485;"LICEO INSTITUTO NACIONAL";14704687;2;196610;0;0;310;1
2019;8485;"LICEO INSTITUTO NACIONAL";8308977;1;196306;0;0;310;1
2019;8485;"LICEO INSTITUTO NACIONAL";19333192;1;195909;0;0;310;1
2019;8485;"LICEO INSTITUTO NACIONAL";14153841;2;198309;0;0;310;1
2019;8485;"LICEO INSTITUTO NACIONAL";2007469;1;196811;0;0;310;1
2019;8485;"LICEO INSTITUTO NACIONAL";20618202;2;196201;0;0;310;1
2019;8485;"LICEO INSTITUTO NACIONAL";3978081;1;196301;0;0;310;1
2019;8485;"LICEO INSTITUTO NACIONAL";16457865;1;196411;0;0;310;1
2019;8485;"LICEO INSTITUTO NACIONAL";7460803;2;196407;0;0;310;1
2019;8485;"LICEO INSTITUTO NACIONAL";1830404;2;196709;0;0;310;1
2019;8485;"LICEO INSTITUTO NACIONAL";23887921;1;196603;0;0;310;1
2019;8485;"LICEO INSTITUTO NACIONAL";24076474;2;197904;0;0;310;1
